station_id,station_name,pollutant,year,unit,mean_value
144,Silbersteinstraße,Stickstoffdioxid,2025,µg/m³,25.167763157894736
144,Silbersteinstraße,Stickstoffmonoxid,2025,µg/m³,14.203947368421053
145,Frohnau,Ozon,2025,µg/m³,52.48026315789474
145,Frohnau,Stickoxide,2025,µg/m³,7.3519736842105265
145,Frohnau,Stickstoffdioxid,2025,µg/m³,6.582236842105263
145,Frohnau,Stickstoffmonoxid,2025,µg/m³,2.125
171,Mitte,Feinstaub (PM10),2025,µg/m³,18.092105263157894
171,Mitte,"Feinstaub (PM2,5)",2025,µg/m³,11.154605263157896
171,Mitte,Stickoxide,2025,µg/m³,17.539473684210527
171,Mitte,Stickstoffdioxid,2025,µg/m³,14.213815789473685
171,Mitte,Stickstoffmonoxid,2025,µg/m³,3.0197368421052633
174,Frankfurter-Allee,Feinstaub (PM10),2025,µg/m³,20.707236842105264
174,Frankfurter-Allee,"Feinstaub (PM2,5)",2025,µg/m³,12.947368421052632
174,Frankfurter-Allee,Kohlenmonoxid,2025,mg/m³,0.2950657894736842
174,Frankfurter-Allee,Ozon,2025,µg/m³,47.83223684210526
174,Frankfurter-Allee,Stickoxide,2025,µg/m³,39.463815789473685
174,Frankfurter-Allee,Stickstoffdioxid,2025,µg/m³,23.213815789473685
174,Frankfurter-Allee,Stickstoffmonoxid,2025,µg/m³,10.680921052631579
190,Leipziger-Straße,Feinstaub (PM10),2025,µg/m³,22.401315789473685
190,Leipziger-Straße,"Feinstaub (PM2,5)",2025,µg/m³,12.036184210526315
190,Leipziger-Straße,Stickoxide,2025,µg/m³,40.0625
190,Leipziger-Straße,Stickstoffdioxid,2025,µg/m³,23.94407894736842
190,Leipziger-Straße,Stickstoffmonoxid,2025,µg/m³,10.588815789473685
221,Karl-Marx-Straße,Feinstaub (PM10),2025,µg/m³,21.063333333333333
221,Karl-Marx-Straße,"Feinstaub (PM2,5)",2025,µg/m³,12.67
221,Karl-Marx-Straße,Stickoxide,2025,µg/m³,34.06578947368421
221,Karl-Marx-Straße,Stickstoffdioxid,2025,µg/m³,21.75
221,Karl-Marx-Straße,Stickstoffmonoxid,2025,µg/m³,8.161184210526315
282,Karlshorst,Stickoxide,2025,µg/m³,15.56578947368421
282,Karlshorst,Stickstoffdioxid,2025,µg/m³,11.980263157894736
282,Karlshorst,Stickstoffmonoxid,2025,µg/m³,3.263157894736842
