station_id,station_name,lat,lon,active,components
MP514,514 Alt-Friedrichsfelde,52.510467,13.506573,False,[]
MP507,507 Michael-Brückner-Straße,52.455129,13.511998,False,[]
MP547,547 Landsberger Allee,52.523165,13.435026,False,[]
MP555,555 Hermannplatz,52.487391,13.424705,False,[]
mc221,221 Karl-Marx-Straße,52.483812,13.429672,True,"['no2_1h', 'pm2_1h', 'nox_1h', 'pm10_1h', 'no_1h', 'pm2_24h', 'pm10_24h', 'no2_24h', 'no_24h', 'nox_24h', 'pm10_24hg', 'no_1m', 'no2_1m', 'no_1y', 'pns-d_1h', 'mhtemp_1h', 'pm2_12mg', 'nox_1m', 'no2_1y', 'pm2_1m', 'pm2_1y', 'nox_12mg', 'no_12mg', 'pm10_1y', 'pm10_1m', 'no2_12mg', 'nox_1y', 'pm10_12mg']"
mc144,144 Silbersteinstraße,52.46747,13.44121,True,"['no2_1h', 'no_1h', 'no_24h', 'no2_24h', 'no_1m', 'no2_1m', 'no2_12mg', 'no_12mg', 'no2_1y', 'no_1y', 'pm10_1h', 'nox_1h', 'pm2_1h', 'nox_24h', 'pm2_24h', 'pm10_24h', 'pm10_24hg', 'pm2_1m', 'nox_1m', 'pm10_1m', 'nox_12mg', 'pm10_12mg', 'pm2_12mg', 'pm10_1y', 'nox_1y', 'pm2_1y']"
mc001,001 Reinickendorf,52.621829,13.229566,False,[]
mc002,002 Reinickendorf,52.623,13.292,False,[]
mc003,003 Reinickendorf,52.618695,13.338435,False,[]
mc004,004 Reinickendorf,52.587524,13.233533,False,[]
mc005,005 Reinickendorf,52.584661,13.290258,False,[]
mc006,006 Reinickendorf,52.586765,13.342714,False,[]
mc007,007 Spandau,52.556012,13.168637,False,[]
mc008,008 Spandau,52.553504,13.228926,False,[]
mc009,009 Reinickendorf,52.550473,13.288726,False,[]
mc011,011 Mitte,52.550835,13.396135,False,[]
mc012,012 Spandau,52.51371,13.167007,False,[]
mc013,013 Spandau,52.517792,13.216449,False,[]
mc015,015 Mitte,52.519065,13.338483,False,[]
mc017,017 Charlottenburg-Wilmersdorf,52.470701,13.293589,False,[]
mc019,019 Neukölln,52.478011,13.417132,False,[]
mc020,020 Neukölln,52.474845,13.455087,False,[]
mc022,022 Steglitz-Zehlendorf,52.439692,13.286298,False,[]
mc021,021 Steglitz-Zehlendorf,52.444632,13.242434,False,[]
mc023,023 Steglitz-Zehlendorf,52.44445,13.341219,False,[]
mc024,024 Neukölln,52.441471,13.413087,False,[]
mc025,025 Neukölln,52.446028,13.46129,False,[]
mc026,026 Steglitz-Zehlendorf,52.409652,13.27329,False,[]
mc028,028 Tempelhof-Schöneberg,52.411658,13.408526,False,[]
mc029,029 Neukölln,52.411248,13.485438,False,[]
mc030,030 Neukölln,52.41704,13.518943,False,[]
mc031,031 Tempelhof-Schöneberg,52.377037,13.404188,False,[]
mc041,041 Spandau,52.532572,13.260391,False,[]
mc043,043 Tempelhof-Schöneberg,52.459952,13.416043,False,[]
mc044,044 Reinickendorf,52.569553,13.356053,False,[]
mc045,045 Reinickendorf,52.653495,13.296991,False,[]
mc046,046 Steglitz-Zehlendorf,52.416938,13.129304,False,[]
mc071,071 Mitte,52.517435,13.410911,False,[]
mc072,072 Pankow,52.590178,13.402006,False,[]
mc073,073 Friedrichhain-Kreuzberg,52.552676,13.467238,False,[]
mc074,074 Friedrichshain-Kreuzberg,52.515516,13.453396,False,[]
mc076,076 Treptow-Köpenick,52.460219,13.52216,False,[]
mc078,078 Pankow,52.588328,13.459159,False,[]
mc075,075 Lichtenberg,52.513703,13.521132,False,[]
mc079,079 Marzahn-Hellersdorf,52.557618,13.530085,False,[]
mc080,080 Marzahn-Hellersdorf,52.548536,13.583056,False,[]
mc084,084 Treptow-Köpenick,52.443624,13.583291,False,[]
mc082,082 Lichtenberg,52.482329,13.525793,False,[]
mc081,081 Marzahn-Hellersdorf,52.513074,13.57842,False,[]
mc083,083 Treptow-Köpenick,52.475771,13.5942,False,[]
MP504,504 Beusselstraße,52.529022,13.328524,False,[]
MP505,505 Potsdamer Straße,52.501411,13.363945,False,[]
MP531,531 Spandauer Damm,52.518363,13.281749,False,[]
MP537,537 Alt Moabit,52.52391,13.328807,False,[]
MP539,539 Schloßstraße,52.458795,13.322413,False,[]
MP542,542 Tempelhofer Damm,52.465184,13.385442,False,[]
MP562,562 Friedrichstraße,52.514272,13.389155,False,[]
MP573,573 Badstraße,52.550217,13.385051,False,[]
